CATEGORY : ARCHITECTURAL SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Design Deft,8823899216,ritikajaggi10@gmail.com,design_deft,Raipur,Ritika Jaggi,verified 
Studio Adiva,9663999318,varun@studioadiva.com,studioadiva,Raipur,Varun Singhania,verified 
Architect Pragati Golchha,7000688599,Pragatigolchha26@gmail.com,,Rajnandgaon,Pragati Golchha,verified 
Nishchal Garg Architects,9685582782,ngarchitects30@gmail.com,,Raipur,Nishchal Garg,verified 
PAI Sttudio,8349153159,paisttudio@gmail.com,PAI Sttudio,Bhilai,Pramod Sethiya,verified 
,,,,,,
CATEGORY : FULL CONTRACTING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
RD Kitchen Casa,9039291363,rdmodularkitchen@gmail.com,rdkitchencasa,Raipur,Piyush Sahu,verified 
Nishchal Garg Architects,9685582782,ngarchitects30@gmail.com,,Raipur,Nishchal Garg,verified 
,,,,,,
CATEGORY : INTERIOR DESIGNING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
"Studio SM , Mooie",7587725100,Jainam1906@gmail.com,Mooie.eu,Raipur,Jainam Duggad,verified 
Shreemaya Design Studio,6262200011,prathatembhurnikar@gmail.com,pratha__tembhurnikar,Bilaspur,Pratha Tembhurnikar,verified 
Studio Adiva,9663999318,varun@studioadiva.com,studioadiva,Raipur,Varun Singhania,verified 
Architect Pragati Golchha,7000688599,Pragatigolchha26@gmail.com,,Rajnandgaon,Pragati Golchha,verified 
Ambiance Interiors,8319200904,vinitkakkad29@gmail.com,,Raipur,Vinit kakkad,verified 
Rupanganam atelier,7415129650,rupanganam.atelier@gmail.com,Rupanganam atelier,Raipur,Falak Chouhan,verified 
Nishchal Garg Architects,9685582782,ngarchitects30@gmail.com,,Raipur,Nishchal Garg,verified 
Vesara Interiors,7828586526,Prachidaga3,vesara_interiors,Raipur,Prachi,verified 
Elite Interior Concepts,9981193162,Kukreja.dushyant@gmail.com,https://www.instagram.com/eliteinteriorconcepts?igsh=MXFqemVpOHM2anN5OQ%3D%3D&utm_source=qr,Raipur,Dushyant Kukreja,verified 
PAI Sttudio,8349153159,paisttudio@gmail.com,PAI Sttudio,Bhilai,Pramod Sethiya,verified 
,,,,,,
CATEGORY : LANDSCAPING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Nishchal Garg Architects,9685582782,ngarchitects30@gmail.com,,Raipur,Nishchal Garg,verified 
,,,,,,
CATEGORY : INTERIOR STYLING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Architect Pragati Golchha,7000688599,Pragatigolchha26@gmail.com,,Rajnandgaon,Pragati Golchha,verified 
Nishchal Garg Architects,9685582782,ngarchitects30@gmail.com,,Raipur,Nishchal Garg,verified 
Vesara Interiors,7828586526,Prachidaga3,vesara_interiors,Raipur,Prachi,verified 
Elite Interior Concepts,9981193162,Kukreja.dushyant@gmail.com,https://www.instagram.com/eliteinteriorconcepts?igsh=MXFqemVpOHM2anN5OQ%3D%3D&utm_source=qr,Raipur,Dushyant Kukreja,verified 
,,,,,,
,,,CATEGORY : N/A,,,
company name,phone number,email,instagram,city,person of contact,contact 
Woodpro living,7024636365,taniyaa@woodpro.co.in,Woodpro_living,Raipur,Taniya agrawal,verified 
Design Culture,8225077300,Yash@designculture.co.in,https://www.instagram.com/designculture03,Raipur,Yash Wadhwa,verified 
Sri Sri university,7000791060,Shivamp2007@gmail.com,,Rajnandgaon,Shivam patel,verified 
Design culture,9425208073,sunilw7393@gmail.com,https://www.instagram.com/designculture03?igsh=MTFpb3d0M2NzYnpvMw%3D%3D&utm_source=qr,Raipur,Sunil wadhwa,verified 
,,,,,,
CATEGORY : VASTU / FENG SHUI / CRYSTAL SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Architect Pragati Golchha,7000688599,Pragatigolchha26@gmail.com,,Rajnandgaon,Pragati Golchha,verified 
Nishchal Garg Architects,9685582782,ngarchitects30@gmail.com,,Raipur,Nishchal Garg,verified 
PAI Sttudio,8349153159,paisttudio@gmail.com,PAI Sttudio,Bhilai,Pramod Sethiya,verified 
