CATEGORY : ARCHITECTURAL SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Vianaar Homes,7798685930,smdarchi@gmail.com,,Panaji,Sasha D'Lima,verified 
Ceacon Construction,7994996189,Shantikrishna2016@gmail.com,,Panaji,Shanti Krishna,verified 
URBAN BUILDERS,8208627462,urbanbuilders1997@gmail.com,_urban_builders_,Ponda,Nafis Ali Pathan,verified 
Mystic Maya Studio,8329809183,samarthmandrekar13@gmail.com,Samarthmandrekar,Porvorim,Samarth Mandrekar,verified 
eesha jamsandekarMendes Designs,9665193329,eeshamendesdesigns@gmail.com,,Porvorim | North Goa,Eesha,verified 
studio Verde,9673415105,pereiraleeann5395@gmail.com,lee_ann_pereira,Goa,Leeann Periera,verified 
L&S Design Haus,9158273452,ericabarbosanoronha@gmail.com,,Margao,Erica Barbosa Noronha,verified 
,,,,,,
CATEGORY : AUDIO VISUAL SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
N.D. Studio,9595965031,chandanpurohit15@gmail.com,iamartistcp,Old Goa,Chandan Purohit,verified 
,,,,,,
CATEGORY : CREATE ART (ALL TYPES & MEDIUMS),,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Okaan,9888998530,gunjan.904@gmail.com,,Goa,Gunjan Malani,verified 
,,,,,,
CATEGORY : EDUCATION / MENTORSHIP,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Vianaar Homes,7798685930,smdarchi@gmail.com,,Panaji,Sasha D'Lima,verified 
,,,,,,
CATEGORY : FALSE CEILING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Ceacon Construction,7994996189,Shantikrishna2016@gmail.com,,Panaji,Shanti Krishna,verified 
URBAN BUILDERS,8208627462,urbanbuilders1997@gmail.com,_urban_builders_,Ponda,Nafis Ali Pathan,verified 
,,,,,,
CATEGORY : ELECTRICAL SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
URBAN BUILDERS,8208627462,urbanbuilders1997@gmail.com,_urban_builders_,Ponda,Nafis Ali Pathan,verified 
,,,,,,
CATEGORY : HOME ORGANISATION SERVICE,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
eesha jamsandekarMendes Designs,9665193329,eeshamendesdesigns@gmail.com,,Porvorim | North Goa,Eesha,verified 
,,,,,,
CATEGORY : FULL CONTRACTING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Ceacon Construction,7994996189,Shantikrishna2016@gmail.com,,Panaji,Shanti Krishna,verified 
URBAN BUILDERS,8208627462,urbanbuilders1997@gmail.com,_urban_builders_,Ponda,Nafis Ali Pathan,verified 
eesha jamsandekarMendes Designs,9665193329,eeshamendesdesigns@gmail.com,,Porvorim | North Goa,Eesha,verified 
studio Verde,9673415105,pereiraleeann5395@gmail.com,lee_ann_pereira,Goa,Leeann Periera,verified 
L&S Design Haus,9158273452,ericabarbosanoronha@gmail.com,,Margao,Erica Barbosa Noronha,verified 
,,,,,,
CATEGORY : INTERIOR DESIGNING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Vianaar Homes,7798685930,smdarchi@gmail.com,,Panaji,Sasha D'Lima,verified 
Ceacon Construction,7994996189,Shantikrishna2016@gmail.com,,Panaji,Shanti Krishna,verified 
URBAN BUILDERS,8208627462,urbanbuilders1997@gmail.com,_urban_builders_,Ponda,Nafis Ali Pathan,verified 
eesha jamsandekarMendes Designs,9665193329,eeshamendesdesigns@gmail.com,,Porvorim | North Goa,Eesha,verified 
Okaan,9888998530,gunjan.904@gmail.com,,Goa,Gunjan Malani,verified 
studio Verde,9673415105,pereiraleeann5395@gmail.com,lee_ann_pereira,Goa,Leeann Periera,verified 
L&S Design Haus,9158273452,ericabarbosanoronha@gmail.com,,Margao,Erica Barbosa Noronha,verified 
SHY Designs,9820882794,sabrina.shydesigns@gmail.com,Shy.designs,Panaji,Sabrina Young,verified 
,,,,,,
CATEGORY : PLUMBING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
URBAN BUILDERS,8208627462,urbanbuilders1997@gmail.com,_urban_builders_,Ponda,Nafis Ali Pathan,verified 
,,,,,,
CATEGORY : INTERIOR STYLING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Ceacon Construction,7994996189,Shantikrishna2016@gmail.com,,Panaji,Shanti Krishna,verified 
URBAN BUILDERS,8208627462,urbanbuilders1997@gmail.com,_urban_builders_,Ponda,Nafis Ali Pathan,verified 
eesha jamsandekarMendes Designs,9665193329,eeshamendesdesigns@gmail.com,eeshamendes,Porvorim | North Goa,Eesha,verified 
SHY Designs,9820882794,sabrina.shydesigns@gmail.com,Shy.designs,Panaji,Sabrina Young,verified 
Aishwarya photography,8072883847,Aishwaryaphotographer@gmail.com,Goa.architecturephotographer,Mapusa,Aishwarya Rajesh,verified 
,,,,,,
CATEGORY : LANDSCAPING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Ceacon Construction,7994996189,Shantikrishna2016@gmail.com,,Panaji,Shanti Krishna,verified 
eesha jamsandekarMendes Designs,9665193329,eeshamendesdesigns@gmail.com,,Porvorim | North Goa,Eesha,verified 
,,,,,,
CATEGORY : MEDIA / PR / JOURNALISM SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Aishwarya photography,8072883847,Aishwaryaphotographer@gmail.com,Goa.architecturephotographer,Mapusa,Aishwarya Rajesh,verified 
,,,,,,
CATEGORY : PAINTING SERVICES,,,,,,
company name,phone number,email,instagram,city,person of contact,contact 
Ceacon Construction,7994996189,Shantikrishna2016@gmail.com,,Panaji,Shanti Krishna,verified 
URBAN BUILDERS,8208627462,urbanbuilders1997@gmail.com,_urban_builders_,Ponda,Nafis Ali Pathan,verified 
